NAME,FACTION,LORE,WARSCROLL,CV,RANGE,RULES
Black Horror of Ulgu,Order|Aelf|Daughters of Khaine,,Morathi-Khaine,7,"36""","Black Horror of Ulgu is a spell that has a casting value of 7 and a range of 36"". If successfully cast, pick 1 enemy unit within range and visible to the caster, then roll a dice. On a 1, that unit suffers 1 mortal wound. On a 2-3, it suffers D3 mortal wounds. On a 4+, it suffers D6 mortal wounds."
Channelled Dynamism,Death|Soulblight Gravelords,,Deintalos the Exile,,"6""","Channelled Dynamism is a spell with a casting value of 3 and a range of 6"". If successfully cast, you can pick 1 friendly The Exiled Dead unit wholly within range and visible to the caster. Until your next hero phase, that unit can run and still charge in the same turn."
Empower,Order|Stormcast Eternals|Hammers of Sigmar,,Stormsire's Cursebreakers,6,"12""","Empower is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 friendly Redeemer or Sacrosanct unit wholly within range. Add 1 to wound rolls for attacks made by that unit until your next hero phase."
Savage Bolt,Chaos|Beasts of Chaos|Allherd|Beasts of Chaos (Nurgle)|Beasts of Chaos (Slaanesh)|Beasts of Chaos (Tzeentch)|Hedonites of Slaanesh Coalition Ally (Beasts of Chaos Khorne OR Nurgle)|Maggotkin of Nurgle Coalition Ally (Beasts of Chaos non Tzeentch),,Grashrak Fellhoof,7,"18""","Savage Bolt is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. In addition, add 1 to hit rolls for attacks made with melee weapons that target that unit until your next hero phase. "
Fiendish Lure,Death|Soulblight Gravelords,,Prince Duvalle,5,"6""","Fiendish Lure is a spell that has a casting value of 5 and a range of 6"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Add 1 to hit rolls and wound rolls for attacks that target that unit until your next hero phase."
Bone Krusha,Destruction|Orruk Warclans|Orruk|Bonesplitterz|Bonegrinz,,"Hedkrakka, Gob of Gork",6,"24""","Bone Krusha is a spell that has a casting value of 6 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster. If that unit is within 6"" of the caster, it suffers D6 mortal wounds. If that unit is more than 6"" from and within 12"" of the caster, it suffers D3 mortal wounds. If that unit is more than 12"" from the caster, it suffers 1 mortal wound."
Enfeeble Foe,Undivided|Chaos|Slaves to Darkness|Legion of the First Prince|Slaves to Darkness (Non-Mark of Chaos),,Be'lakor,6,"18""","Enfeeble Foe is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from wound rolls for attacks made with melee weapons by that unit until your next hero phase."
Flames of the Phoenix,Legends,,Drakeseer,7,"18""","Flames of the Phoenix is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. Then, roll a dice. On a 1-3 the effect of this spell ends. On a 4+, that unit suffers an additional D3 mortal wounds. Keep rolling in this way until either the effect of the spell ends or the unit is destroyed."
Plague Wind,Chaos|Nurgle|Maggotkin of Nurgle,,Great Unclean One,7,"14""","Plague Wind is a spell that has a casting value of 7 and a range of 14"". If successfully cast, pick 1 point on the battlefield within range and visible to the caster and draw a straight line between that point and the closest part on the caster’s base. Roll a dice for each enemy unit passed across by  that line. On a 4+, that unit suffers 1 disease point."
Howling Vortex,Death|Nighthaunt|The Grieving Legion,,The Briar Queen,7,"18""","Howling Vortex is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick a point on the battlefield within range and visible to the caster. Then, roll 2D6 for each enemy unit within 6"" of that point. If the roll is greater than that unit’s unmodified Move characteristic, or the roll is a double, that unit suffers 1 mortal wound and its Move characteristic is halved until your next hero phase. "
Hand of Dust,Soulblight Gravelords|Death|Ossiarch Bonereapers|Nighthaunt,,Nagash,8,"3""","Hand of Dust is a spell that has a casting value of 8 and a range of 3"". If successfully cast, pick 1 enemy model within range and visible to the caster. Then, take a dice and hide it in one of your hands or under one of two appropriate containers. Your opponent must pick one of your hands or containers. If they pick the one holding the dice, the spell has no effect. If they pick the empty hand or container, the enemy model is slain."
Grief-stricken,Death|Nighthaunt|The Grieving Legion,,Lady Olynder,7,"18""","Grief-stricken is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from hit rolls for attacks made by that unit and add 1 to hit rolls for attacks made with melee weapons by friendly Nighthaunt units that target that unit until your next hero phase."
Enfeebling Foe,Daughters of Khaine|Order,,Bloodwrack Shrine,5,"18""","Enfeebling Foe is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Subtract 1 from wound rolls for attacks made with melee weapons by that unit until your next hero phase."
Aspect of the Everqueen,Order|Sylvaneth|Forest Folk,,The Lady of Vines,,"12""","Aspect of the Everqueen is a spell with a casting value of 7 and a range of 12"". If successfully cast, until your next hero phase, friendly Sylvaneth units have a ward of 5+ while they are wholly within range of the caster."
Cracks Call,Chaos|Skaven|Masterclan,,Grey Seer On Screaming Bell,6,"13""","Cracks Call is a spell that has a casting value of 6 and a range of 13"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll 2D6. If the roll is greater than that unit’s Move characteristic, that unit suffers a number of mortal wounds equal to the difference between its Move characteristic and the roll (rounding up). This spell has no effect on units that can fly."
The Dreaded Thirteenth Spell,Skaven|Chaos|Masterclan,,Lord Skreech Verminking,8,"13""","The Dreaded Thirteenth Spell is a spell that has a casting value of 8 and a range of 13"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll 13 dice. For each 4+, that unit suffers 1 mortal wound. 

You can then summon 1 unit of Clanrats to the battlefield and add it to your army. The summoned unit can have up to 1 model for each mortal wound that was caused by this spell. The summoned unit must be set up wholly within range of the caster and more than 9"" from all enemy units. The summoned unit cannot move in the following movement phase."
Dreaded Skitterleap,Skaven|Chaos|Clans Eshin,,Verminlord Deceiver,6,"18""","Dreaded Skitterleap is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Skaven Hero with a Wounds characteristic of 13 or less within range and visible to the caster. Remove that Hero from the battlefield and set it up again on the battlefield more than 6"" from all enemy units. That Hero cannot move in the following movement phase."
Dreaded Plague,Chaos|Nurgle|Clans Pestilens|Skaven|Clans Pestilens (Maggotkin of Nurgle),,Verminlord Corruptor,7,"13""","Dreaded Plague is a spell that has a casting value of 7 and a range of 13"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll a dice for each model in that unit. For each 4+, that unit suffers 1 mortal wound."
Dreaded Death Frenzy,Skaven|Chaos|Clans Verminus,,Verminlord Warbringer,7,"13""","Dreaded Death Frenzy is a spell that has a casting value of 7 and a range of 13"". If successfully cast, pick up to D3 friendly Skaven units wholly within range and visible to the caster. Until your next hero phase, if any models in that unit are slain, those models can fight before they are removed from play."
Dreaded Warpgale,Skaven|Chaos|Masterclan,,Verminlord Warpseer,8,"18""","Dreaded Warpgale is a spell that has a casting value of 8 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D6 mortal wounds. In addition, run rolls and charge rolls for that unit are halved until your next hero phase, and if that unit can fly, it also cannot fly until your next hero phase."
Warp Lightning Storm,Chaos|Skaven|Clans Skryre,,Arch-Warlock,7,"13""","Warp Lightning Storm is a spell that has a casting value of 7 and a range of 13"". If successfully cast, pick up to D3 different enemy units within range and visible to the caster. Those units each suffer D3 mortal wounds. 

Alternatively, before making the casting roll, you can say that this unit will use its warp-power accumulator to augment the spell. If you do so, and the spell is successfully cast and not unbound, pick up to D3 different enemy units within range and visible to the caster. Those units each suffer D6 mortal wounds. However, if the spell is not successfully cast or is unbound, this unit suffers 2×D6 mortal wounds that cannot be negated."
Warp Lightning,Chaos|Skaven|Clans Skryre,,Warlock Engineer,5,"13""","Warp Lightning is a spell that has a casting value of 5 and a range of 13"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. Alternatively, before making the casting roll, you can say that this unit will use its warp-power accumulator to augment the spell. If you do so, and the spell is successfully cast and not unbound, pick 1 enemy unit within range and visible to the caster. That unit suffers D6 mortal wounds. However, if the spell is not successfully cast or is unbound, this unit suffers D6 mortal wounds that cannot be negated."
Warp Lightning,Chaos|Skaven|Clans Skryre,,Warlock Bombardier,5,"13""","Warp Lightning is a spell that has a casting value of 5 and a range of 13"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. 

Alternatively, before making the casting roll, you can say that this unit will use its warp-power accumulator to augment the spell. If you do so, and the spell is successfully cast and not unbound, pick 1 enemy unit within range and visible to the caster. That unit suffers D6 mortal wounds. However, if the spell is not successfully cast or is unbound, this unit suffers D6 mortal wounds that cannot be negated."
Awakening the Wood,Order|Sylvaneth,,Treelord Ancient,6,,"Awakening the Wood is a spell that has a casting value of 6. If successfully cast, pick 1 friendly Awakened Wyldwood on the battlefield. Each enemy unit within 3"" of that Awakened Wyldwood suffers D3 mortal wounds (roll separately for each unit)."
Power of Hysh,Order|Aelf|Lumineth Realm-lords,,Vanari Auralan Sentinels ,6,,"Power of Hysh is a spell that has a casting value of 6. If successfully cast, until your next hero phase, the Sunmetal Weapons ability for the caster and/or the unit they are part of causes mortal wounds on an unmodified hit roll of 5+ instead of 6. Any number of Lumineth Realm-lords Wizards can attempt to cast Power of Hysh in the same hero phase."
Gestalt Sorcery,Chaos|Disciples of Tzeentch|Tzeentch,,Kairic Acolytes,6,"9""","Gestalt Sorcery is a spell that has a casting value of 6 and a range of 9"". If successfully cast, pick 1 friendly Kairic Acolytes unit wholly within range of the caster. Until your next hero phase, improve the Rend characteristic of that unit’s Sorcerous Bolts by 1."
Twinned Tether,Order|Lumineth Realm-lords|Aelf,,Scinari Enlightener,6,"12""","Twinned Tether is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, each time a wound or mortal wound is allocated to the caster, your opponent must allocate a wound to that enemy unit. "
Glean Magic,Chaos|Disciples of Tzeentch|Tzeentch,,Curseling,4,"30""","Glean Magic is a spell that has a casting value of 4 and a range of 30"". If successfully cast, pick 1 enemy Wizard within range and visible to the caster. Pick 1 spell from that Wizard’s warscroll that is possible for this unit to cast and roll a dice. On a 2+, the caster knows that spell for the rest of the battle.

Designer’s Note: Spells that require the caster to have a specific keyword, refer to a damage table, or require an endless spell to be a part of their army cannot be picked with this ability. "
Retribution or Salvation,Death|Soulblight Gravelords,,Cado Ezechiar,6,"18""","Retribution or Salvation is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 unit within range and visible to the caster. If that unit is an enemy unit, it suffers D3 mortal wounds. If that enemy unit has the Chaos keyword, it suffers 3 mortal wounds instead of D3. If that unit is a friendly Soulblight Gravelords Summonable unit, you can heal up to D3 wounds allocated to that unit or, if no wounds are allocated to that unit, you can return a number of slain models to it that have a combined Wounds characteristic of D3 or less."
Boon of Mutation,Chaos|Disciples of Tzeentch|Tzeentch,,Tzaangor Shaman,7,"18""","Boon of Mutation is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. 

For each model that is slain by a mortal wound caused by this spell, you can add 1 Tzaangor model that is not a Tzaangor Champion or Tzaangor Mutant to a friendly Tzaangor Host within 12"" of the caster. Set up models that are added to a unit one at a time within 1"" of the unit they are being added to. Models that are added to a unit can only be set up within 3"" of an enemy unit if a model from their unit is already within 3"" of that enemy unit. The models added to a unit can take it above its maximum size."
Sorcerous Insight,Chaos|Disciples of Tzeentch|Cult of the Transient Form|Tzeentch,,Vortemis the All-seeing,5,,"Sorcerous Insight is a spell that has a casting value of 5. If successfully cast, you receive 1 command point that can only be spent to allow the caster to issue a command."
Bolt of Change,Chaos|Disciples of Tzeentch|Tzeentch,,Magister on Disc of Tzeentch,7,"18""","Bolt of Change is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. You can say that the first enemy model slain by this spell each time it is cast is transformed into a Spawn instead of being slain."
Infernal Flames,Chaos|Disciples of Tzeentch|Tzeentch,,Gaunt Summoner of Tzeentch,7,"12""","Infernal Flames is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll 1 dice for each model in that unit. For each 5+, that unit suffers 1 mortal wound. If that unit is a Monster or War Machine, roll 5 dice for each model instead of 1."
Infernal Flames,Chaos|Tzeentch|Disciples of Tzeentch,,Gaunt Summoner on Disc of Tzeentch,7,"12""","Infernal Flames is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll 1 dice for each model in that unit. For each 5+, that unit suffers 1 mortal wound. If that unit is a Monster or War Machine, roll 5 dice for each model instead of 1."
Salvation of Hysh,Order|Aelf|Lumineth Realm-lords|Iliatha|Ellania and Ellathor,,Ellania and Ellathor,6,,"Salvation of Hysh is a spell that has a casting value of 6. If successfully cast, the caster has a ward of 5+ until your next hero phase."
Blue Fire of Tzeentch,Chaos|Disciples of Tzeentch|Tzeentch,,Fluxmaster,8,"18""","Blue Fire of Tzeentch is a spell that has a casting value of 8 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll 9 dice. For each 5+, that enemy unit suffers 1 mortal wound and the caster’s army receives 1 Fate Point if it is a Disciples of Tzeentch army."
Infernal Gateway,Chaos|Disciples of Tzeentch|Tzeentch,,Lord of Change,7,"18""","Infernal Gateway is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll 9 dice. That enemy unit suffers 1 mortal wound for each roll that is equal to or greater than the Infernal Gateway value shown on the caster’s damage table."
Infernal Gateway,Disciples of Tzeentch|Chaos|Tzeentch,,Kairos Fateweaver,7,"18""","Infernal Gateway is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster, and roll 9 dice. That enemy unit suffers 1 mortal wound for each roll that is equal to or greater than the Infernal Gateway value shown on the caster’s damage table"
Dazzling Light,Order|Aelf|Lumineth Realm-lords|Ymetrica,,Myari Lightcaller,6,"6""","Dazzling Light is a spell that has a casting value of 6 and a range of 6"". If successfully cast, until your next hero phase, subtract 1 from hit rolls for attacks that target the caster and subtract 1 from hit rolls for attacks made with missile weapons that target other friendly units wholly within range of the caster."
Windblast Vortex,Order|Aelf|Lumineth Realm-lords,,Hurakan Windmage,5,"9""","Windblast Vortex is a spell that has a casting value of 5 and a range of 9"". If successfully cast, in your next shooting phase, you can pick 1 enemy unit within range and visible to the caster and roll a dice. On a 2+, that enemy unit suffers D3 mortal wounds."
Storm of Searing White Light,Order|Aelf|Lumineth Realm-lords,,Archmage Teclis,10,"18""","Storm of Searing White Light is a spell that has a casting value of 10 and a range of 18"". If successfully cast, roll a dice for each enemy unit within range and visible to the caster. On a 1, nothing happens. On a 2-4, that unit suffers D3 mortal wounds. On a 5+, that unit suffers D6 mortal wounds."
Gravitic Redirection,Order|Aelf|Lumineth Realm-lords,,Alarith Stonemage,5,"18""","Gravitic Redirection is a spell that has a casting value of 5 and a range of 18"". If successfully cast, until your next hero phase, the caster can fly. In addition, you can pick 1 enemy unit within range and visible to the caster. If you do so, until your next hero phase, that unit’s Move characteristic is halved and it cannot fly."
Greater Power of Hysh,Order|Aelf|Lumineth Realm-lords,,Vanari Lord Regent,7,"18""","Greater Power of Hysh is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick up to D3 friendly Lumineth Realm‑lords units with the Sunmetal Weapons ability wholly within range and visible to the caster. Until your next hero phase, the Sunmetal Weapons ability of those units causes mortal wounds on an unmodified hit roll of 5+ instead of 6."
Protection of Teclis,Order|Aelf|Lumineth Realm-lords,,Archmage Teclis,10,"18""","Protection of Teclis is a spell that has a casting value of 10 and a range of 18"". If successfully cast, until your next hero phase, friendly units have a ward of 5+ while they are wholly within range of the caster. This spell cannot be cast in the same phase as Protection of Hysh."
Erasure,Order|Aelf|Lumineth Realm-lords,,Scinari Calligrave,8,"24""","Erasure is a spell that has a casting value of 8 and a range of 24"". If successfully cast, pick 1 enemy Hero within range and visible to the caster. You can either cause D3 mortal wounds to that Hero or mark them for erasure. However, if that Hero is already marked for erasure, then instead they suffer 2D6 mortal wounds and they are no longer marked for erasure."
Darkness of the Soul,Order|Aelf|Lumineth Realm-lords,,Scinari Cathallar,7,"18""","Darkness of the Soul is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Until your next hero phase, roll 2D6 each time that unit makes a normal move, runs, retreats, makes a charge move, shoots or fights. Make the roll before the action is carried out. If the roll is greater than that unit’s Bravery characteristic, that unit cannot perform that action in that phase."
Power of Hysh,Order|Aelf|Lumineth Realm-lords,,Vanari Auralan Wardens,6,,"Power of Hysh is a spell that has a casting value of 6. If successfully cast, until your next hero phase, the Sunmetal Weapons ability for the caster and/or the unit they are part of causes mortal wounds on an unmodified hit roll of 5+ instead of 6. Any number of Lumineth Realm-lords Wizards can attempt to cast Power of Hysh in the same hero phase."
Power of Hysh,Order|Aelf|Lumineth Realm-lords,,Vanari Dawnriders,6,,"Power of Hysh is a spell that has a casting value of 6. If successfully cast, until your next hero phase, the Sunmetal Weapons ability for the caster and/or the unit they are part of causes mortal wounds on an unmodified hit roll of 5+ instead of 6. Any number of Lumineth Realm-lords Wizards can attempt to cast Power of Hysh in the same hero phase."
Boon of Mutation,Chaos|Beasts of Chaos (Tzeentch)|Beasts of Chaos|Tzeentch,,Beasts of Chaos Tzaangor Shaman,7,"18""","Boon of Mutation is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds.

For each model that is slain by a mortal wound caused by this spell, you can add 1 Tzaangor model that is not a Tzaangor Champion or Tzaangor Mutant to a friendly Tzaangor Host within 12"" of the caster. Set up models that are added to a unit one at a time within 1"" of the unit they are being added to. Models that are added to a unit can only be set up within 3"" of an enemy unit if a model from their unit is already within 3"" of that enemy unit. The models added to a unit can take it above its maximum size."
Cascading Fire-cloak,Destruction|Ogor Mawtribes,,Firebelly,5,"3""","Cascading Fire-cloak is a spell that has a casting value of 5 and a range of 3"". If successfully cast, roll a dice for each enemy unit within range. On a 4+, that enemy unit suffers D3 mortal wounds.

In addition, if this spell is successfully cast, this unit has a ward of 5+ until the start of your next hero phase."
Rockchomper,Destruction|Ogor Mawtribes,,Slaughtermaster,5,"18""","Rockchomper is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 friendly Ogor Gluttons unit wholly within range and visible to the caster. Until the start of your next hero phase, rolls made for enemy units within 3"" of that unit for the purposes of the Gulping Bite battle trait cause D6 mortal wounds on a 4+ instead of D3."
Voracious Maw,Destruction|Ogor Mawtribes,,Butcher,7,"18""","Voracious Maw is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. Then, roll a dice. On a 1-3, the maw is satisfied and the sequence ends. On a 4+, that unit suffers D3 mortal wounds. Keep rolling dice in this way until the maw is satisfied or the target unit is destroyed."
Spore Maws,Destruction|Gloomspite Gitz,,Fungoid Cave-Shaman,7,"6""","Spore Maws is a spell that has a casting value of 7 and a range of 6"". If successfully cast, each enemy unit within range suffers D6 mortal wounds (roll separately for each unit)."
Infernal Flames,Slaves to Darkness|Chaos|Tzeentch|Slaves to Darkness (Tzeentch)|Disciples of Tzeentch Coalition Ally (Slaves to Darkness),,Slaves to Darkness Gaunt Summoner on Disc of Tzeentch,7,"12""","Infernal Flames is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll 1 dice for each model in that unit. For each 5+, that unit suffers 1 mortal wound. If that unit is a Monster or War Machine, roll 5 dice for each model instead of 1."
Raptor Bolt,Chaos|Slaves to Darkness|Undivided|Slaves to Darkness (Non-Mark of Chaos),,Sarrakkar Blackwing,6,"12""","Raptor Bolt is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. 

If this unit has fulfilled its oath, the range of this spell is 18"" instead of 12"" and if successfully cast, the enemy unit suffers D6 mortal wounds instead of D3."
Stream of Corruption,Chaos|Nurgle|Maggotkin of Nurgle,,Rotbringer Sorcerer (Rot Coven),,"7""","Stream of Corruption is a spell with a casting value of 6 and a range of 7"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll 1 dice for each model in that unit that is within range of the caster. For each 5+, that unit suffers 1 mortal wound.

Before attempting to cast this spell, you can say that the caster will project the stream across a greater distance. If you do so, the spell has a range of 14"" but only inflicts 1 mortal wound for each roll of 6 instead of each roll of 5+."
Infernal Flames,Chaos|Slaves to Darkness|Tzeentch|Slaves to Darkness (Tzeentch)|Disciples of Tzeentch Coalition Ally (Slaves to Darkness),,Slaves to Darkness Gaunt Summoner,7,"12""","Infernal Flames is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll 1 dice for each model in that unit. For each 5+, that unit suffers 1 mortal wound. If that unit is an enemy Monster or War Machine, roll 5 dice for each model instead of 1."
Mask of Darkness,Chaos|Slaves to Darkness|Slaves to Darkness (Non-Mark of Chaos)|Undivided,,Zarshia Bittersoul,6,"12""","Mask of Darkness is a spell has a casting value of 6 and a range of 12"". If successfully cast, pick 1 friendly Khagra’s Ravagers unit wholly within range and visible to the caster. Remove that unit from the battlefield and set it up again anywhere on the battlefield wholly within 24"" of the caster and more than 9"" from all enemy units."
Winds of Chaos,Chaos|Slaves to Darkness|Slaves to Darkness (Slaanesh)|Slaves to Darkness (Nurgle)|Slaves to Darkness (Tzeentch)|Disciples of Tzeentch Coalition Ally (Slaves to Darkness)|Hedonites of Slaanesh Coalition Ally (Slaves to Darkness)|Maggotkin of Nurgle Coalition Ally (Slaves to Darkness),,Chaos Sorcerer Lord on Manticore,8,"18""","Winds of Chaos is a spell that has a casting value of 8 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a number of dice equal to the number of models in that unit. For each 5, that unit suffers 1 mortal wound. For each 6, that unit suffers 2 mortal wounds."
Enfeeblement,Chaos|Slaves to Darkness|Undivided|Slaves to Darkness (Non-Mark of Chaos),,Theddra Skull-Scryer,6,"12""","Enfeeblement is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit within range that is visible to the caster. Subtract 1 from wound rolls for attacks made with melee weapons by that unit until your next hero phase."
Red Fire Of Tzeentch,Chaos|Disciples of Tzeentch|Tzeentch,,Fateskimmer,9,"9""","Red Fire Of Tzeentch is a spell that has a casting value of 9 and a range of 9"". If successfully cast, roll a dice for each enemy unit within range and visible to the caster. On a 2+, that unit suffers D3 mortal wounds."
Mesmerise,Destruction|Gloomspite Gitz,,Gobbapalooza,6,"12""","Mesmerise is a spell that has a casting value of 6 and a range of 12"". Only this unit’s Boggleye knows this spell and can attempt to cast it. If successfully cast, pick 1 enemy unit within range and visible to the caster. Until the start of your next hero phase, that unit cannot issue or receive commands."
Night Shroud,Destruction|Gloomspite Gitz,,Madcap Shaman,5,"12""","Night Shroud is a spell that has a casting value of 5 and a range of 12"". If successfully cast, pick 1 friendly Gloomspite Gitz unit wholly within range and visible to the caster. Until the start of your next hero phase, subtract 1 from hit rolls for attacks made with missile weapons that target that unit."
Jealous Hex,Destruction|Gloomspite Gitz|King’s Gitz,,Zarbag,6,"18""","Jealous Hex is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 enemy Hero within range and visible to the caster. Until the start of your next hero phase, ignore positive modifiers to hit rolls and wound rolls for attacks made by that Hero, and ignore positive modifiers to save rolls for attacks that target that Hero."
Face of Da Bad Moon,Destruction|Gloomspite Gitz|King’s Gitz,,Zarbag,5,"9""","Face of Da Bad Moon is a spell that has a casting value of 5 and a range of 9"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit must retreat. If it is impossible for the unit to retreat for any reason, it suffers D6 mortal wounds instead."
Speed of the Spider God,Destruction|Gloomspite Gitz,,Webspinner Shaman,4,"24""","Speed of the Spider God is a spell that has a casting value of 4 and a range of 24"". If successfully cast, pick 1 friendly Spiderfang unit wholly within range and visible to the caster. Until your next hero phase, that unit can run and still shoot and/or charge later in the turn. If the casting roll was 8 or more, pick up to D3 friendly Spiderfang units instead of 1."
Fungoid Cloud,Destruction|Gloomspite Gitz,,Gobbapalooza,6,"12""","Fungoid Cloud is a spell that has a casting value of 6 and a range of 12"". Only this unit’s Shroomancer knows this spell and can attempt to cast it. If successfully cast, until the start of your next hero phase, subtract 1 from hit rolls for attacks that target friendly Gloomspite Gitz units while they are wholly within range of this unit."
Fangz of da Bad Moon,Destruction|Gloomspite Gitz|King’s Gitz,,"Skragrott, the Loonking",3,"24""","Fangz of da Bad Moon is a spell that has a casting value of 3 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster and roll a number of dice equal to the unmodified casting roll. For each 3+, that unit suffers 1 mortal wound."
Cacophonic Choir,Chaos|Hedonites of Slaanesh|Slaanesh,,Keeper of Secrets,6,"6""","Cacophonic Choir is a spell that has a casting value of 6 and a range of 6"". If successfully cast, roll 2D6. Each enemy unit within range that has a Bravery characteristic of less than the roll suffers D3 mortal wounds (roll separately for each unit)."
Whispers of Doubt,Chaos|Slaanesh|Hedonites of Slaanesh,,Synessa,6,,"Whispers of Doubt is a spell that has a casting value of 6. If successfully cast, pick 1 enemy Hero visible to the caster and roll 3D6. If the roll is equal to or greater than that Hero’s Bravery characteristic, add 1 to hit rolls and wound rolls for attacks that target that Hero until your next hero phase."
Acquiescence,Hedonites of Slaanesh|Slaanesh|Chaos,,"Bladebringer, Herald on Seeker Chariot",5,"18""","Acquiescence is a spell that has a casting value of 5 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Add 1 to wound rolls for attacks that target that unit until your next hero phase."
Bolt of Change,Beasts of Chaos|Blades of Khorne|Hedonites of Slaanesh|Maggotkin of Nurgle|Skaven|Slaves to Darkness,,Magister (The Coven of Thryx),7,"18""","Bolt of Change is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. You can say that the first enemy model slain by this spell each time it is cast is transformed into a Spawn instead of being slain."
Soul Stealer,Soulblight Gravelords|Death|Ossiarch Bonereapers|Nighthaunt,,Nagash,7,"24""","Soul Stealer is a spell that has a casting value of 7 and a range of 24"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D3 mortal wounds. If the unmodified casting roll for this spell is 9+ and this spell is not unbound, that unit suffers D6 mortal wounds instead of D3. You can heal up to 1 wound that has been allocated to the caster for each mortal wound caused by this spell that is not negated."
Mortal Touch,Death|Ossiarch Bonereapers|Mortis Praetorians,,Vokmortian,7,"1""","Mortal Touch is a spell that has a casting value of 7 and a range of 1"". If successfully cast, pick 1 enemy model within range and visible to the caster and roll a dice. On a 4+, that model is slain. The range of this spell cannot be modified and must be measured from the caster, even if an ability would allow you to measure it from elsewhere."
Empower Ossification,Death|Ossiarch Bonereapers,,Mortisan Ossifector,5,"24""","Empower Ossification is a spell that has a casting value of 5 and a range of 24"". If successfully cast, the caster can pick up to 3 different friendly Gothizzar Harvesters, Mortek Crawlers or Morghast units in any combination that are wholly within range to benefit from the Refined Creations ability instead of 1 unit that is wholly within 12""."
Wind of Death,Soulblight Gravelords|Death|Legion of Night,,Mannfred Von Carstein,7,"18""","Wind of Death is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a dice for that unit and each other enemy unit within 6"" of that unit. On a 3+, the unit being rolled for suffers D3 mortal wounds."
